City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
201,San Quintin,30.4833,-115.95,75.69,21,0,6.58,MX,clear sky
202,Gombong,-7.6072,109.5142,75.04,87,100,2.82,ID,overcast clouds
203,Vestmanna,62.1564,-7.1664,41.0,100,75,2.3,FO,moderate rain
204,Sasso Marconi,44.3995,11.2495,33.01,80,0,2.3,IT,clear sky
205,Luang Prabang,19.8856,102.1347,59.79,80,59,1.52,LA,broken clouds
206,Svetlaya,46.5389,138.3297,0.86,81,0,8.25,RU,clear sky
207,Bristol,41.8334,-71.1662,48.99,83,79,10.0,US,broken clouds
208,Nova Soure,-11.2333,-38.4833,82.27,48,8,15.79,BR,clear sky
209,Shahapur,19.45,73.3333,75.2,64,0,1.45,IN,haze
210,Guadalajara,20.6667,-103.3333,79.0,13,75,4.61,MX,broken clouds
211,Gamba,-2.65,10.0,77.74,84,100,6.02,GA,overcast clouds
212,Bethel,41.3712,-73.414,39.99,81,90,10.36,US,overcast clouds
213,Nalut,30.3333,10.85,45.39,62,0,8.79,LY,clear sky
214,Aklavik,68.2191,-135.0107,-14.8,84,20,4.61,CA,few clouds
215,Henties Bay,-22.116,14.2845,70.0,81,1,5.99,NA,clear sky
216,Cayenne,4.9333,-52.3333,82.4,69,90,8.05,GF,overcast clouds
217,Ingham,42.6,-84.3833,33.01,80,90,5.75,US,overcast clouds
218,Miraflores,19.2167,-98.8083,70.0,32,75,11.5,MX,broken clouds
219,Mbuji-Mayi,-6.15,23.6,70.68,83,88,1.97,CD,light rain
220,Nueva Gorgona,8.55,-79.8667,87.01,58,20,12.66,PA,few clouds
221,Esperance,-33.8667,121.9,53.6,71,41,5.75,AU,scattered clouds
222,Eureka,40.8021,-124.1637,54.0,100,90,8.05,US,fog
223,Salalah,17.0151,54.0924,68.0,49,0,2.3,OM,clear sky
224,Port Hedland,-20.3167,118.5667,87.8,58,90,8.05,AU,overcast clouds
225,Cartaya,37.2811,-7.1507,51.01,75,0,1.99,ES,clear sky
226,Port Elizabeth,-33.918,25.5701,68.0,83,75,24.16,ZA,broken clouds
227,Zhuanghe,39.7008,122.9911,11.8,73,0,4.9,CN,clear sky
228,Foam Lake,51.65,-103.5343,26.6,74,50,9.22,CA,scattered clouds
229,Dali,25.7,100.1833,42.96,81,93,1.92,CN,overcast clouds
230,Pangnirtung,66.1451,-65.7125,17.6,79,90,11.5,CA,snow
231,Puquio,-14.7,-74.1333,51.71,77,100,11.61,PE,moderate rain
232,Waingapu,-9.6567,120.2641,77.47,82,100,3.76,ID,overcast clouds
233,Trinidad,-14.8333,-64.9,84.2,79,75,13.8,BO,broken clouds
234,Tambopata,-12.7333,-69.1833,82.4,89,20,2.3,PE,moderate rain
235,Vila,42.0304,-8.1588,37.99,67,0,1.99,PT,clear sky
236,Vardo,70.3705,31.1107,35.19,90,100,16.04,NO,light snow
237,Quelimane,-17.8786,36.8883,79.65,88,100,3.96,MZ,overcast clouds
238,Chilca,-12.5211,-76.7372,78.01,69,0,10.36,PE,clear sky
239,Vanavara,60.34,102.2797,-44.37,77,9,3.11,RU,clear sky
240,Kismayo,-0.3582,42.5454,77.36,82,19,13.24,SO,few clouds
241,San Jose De Rio Tinto,14.9333,-85.7,80.6,69,75,3.44,HN,broken clouds
242,Hengshan,45.2,130.9167,-15.21,87,2,5.23,CN,clear sky
243,Abnub,27.2696,31.1511,53.6,71,0,4.61,EG,clear sky
244,Port-Cartier,50.0334,-66.8654,30.2,80,100,8.05,CA,overcast clouds
245,Saint George,37.1041,-113.5841,64.99,23,1,3.44,US,clear sky
246,Beloha,-25.1667,45.05,75.72,80,52,2.66,MG,broken clouds
247,Sola,-13.8833,167.55,81.37,78,100,7.18,VU,overcast clouds
248,Sakakah,29.9697,40.2064,53.6,37,0,5.75,SA,clear sky
249,Blackwater,-23.5833,148.8833,77.07,72,72,7.47,AU,broken clouds
250,Katangli,51.7102,143.2326,-20.74,85,0,7.0,RU,clear sky
251,Touros,-5.1989,-35.4608,80.6,65,20,12.66,BR,few clouds
252,Kununurra,-15.7667,128.7333,77.0,94,96,4.61,AU,overcast clouds
253,Petropavlovsk-Kamchatskiy,53.0452,158.6483,14.0,92,75,8.95,RU,light snow
254,Voi,-3.3945,38.563,71.78,87,16,0.94,KE,few clouds
255,Rocha,-34.4833,-54.3333,74.91,72,0,9.69,UY,clear sky
256,Tankara,22.6667,70.7333,59.65,34,0,5.06,IN,clear sky
257,Asau,46.4333,26.4,14.0,85,40,2.3,RO,scattered clouds
258,Cherskiy,68.75,161.3,-21.06,87,100,3.38,RU,overcast clouds
259,Margate,51.3813,1.3862,45.0,91,100,3.0,GB,overcast clouds
260,Oranjemund,-28.55,16.4333,64.56,79,0,10.49,NA,clear sky
261,Pacific Grove,36.6177,-121.9166,73.99,63,1,4.61,US,clear sky
262,Vangaindrano,-23.35,47.6,78.69,88,61,7.0,MG,broken clouds
263,Albert Lea,43.648,-93.3683,24.8,86,90,5.75,US,overcast clouds
264,Vuktyl,63.8567,57.3094,-12.75,89,7,5.99,RU,clear sky
265,Huadian,42.9633,126.7478,-1.88,89,100,6.55,CN,overcast clouds
266,Laguna,38.421,-121.4238,68.0,52,1,5.79,US,clear sky
267,Aksarka,66.5606,67.7975,-11.25,91,98,9.22,RU,overcast clouds
268,Kristinehamn,59.3098,14.1081,28.4,93,90,4.61,SE,light intensity drizzle
269,Bumba,2.1833,22.4667,74.39,76,92,2.37,CD,overcast clouds
270,Sao Felix Do Xingu,-6.6447,-51.995,75.74,93,100,2.13,BR,overcast clouds
271,Kruisfontein,-34.0033,24.7314,68.0,72,15,3.0,ZA,few clouds
272,Kathu,7.9178,98.3332,77.0,83,20,3.44,TH,few clouds
273,Beira,-19.8436,34.8389,82.76,82,99,10.31,MZ,overcast clouds
274,Kupang,-10.1667,123.5833,77.65,88,100,6.15,ID,light rain
275,Derzhavinsk,51.1,66.3167,9.64,96,86,12.15,KZ,overcast clouds
276,Tezu,27.9167,96.1667,59.2,52,0,3.29,IN,clear sky
277,Paraiso,9.8383,-83.8656,75.2,53,40,13.8,CR,scattered clouds
278,Lazaro Cardenas,17.9583,-102.2,81.39,66,97,6.31,MX,overcast clouds
279,Katsuura,35.1333,140.3,44.6,53,75,6.91,JP,broken clouds
280,Riviere-Au-Renard,48.9957,-64.3971,28.4,86,90,6.91,CA,light snow
281,Lima,-12.0432,-77.0282,78.01,69,0,9.22,PE,clear sky
282,Wewak,-3.5534,143.6268,80.02,82,100,6.02,PG,overcast clouds
283,Soke,13.598,-5.9386,74.32,18,56,12.5,ML,broken clouds
284,Kalmunai,7.4167,81.8167,76.42,83,89,3.27,LK,overcast clouds
285,Port Blair,11.6667,92.75,77.31,71,26,6.73,IN,scattered clouds
286,Mnogovershinnyy,53.9353,139.9242,-24.83,84,0,2.37,RU,clear sky
287,Polewali,-3.4324,119.3435,76.12,80,100,4.03,ID,overcast clouds
288,Bud,39.447,-86.1758,33.01,96,100,14.92,US,light snow
289,Sioux Lookout,50.1001,-91.917,15.8,79,75,4.61,CA,broken clouds
290,Maralal,1.0968,36.698,58.78,85,4,5.44,KE,clear sky
291,Sungaipenuh,-2.0833,101.3833,63.34,82,100,2.28,ID,overcast clouds
292,Takaka,-40.85,172.8,66.0,91,87,11.99,NZ,moderate rain
293,Cedar City,37.6775,-113.0619,48.2,37,1,8.05,US,clear sky
294,Vitim,59.4511,112.5578,-46.75,74,58,1.97,RU,broken clouds
295,Sylva,58.0348,56.7635,15.8,79,75,20.13,RU,snow
296,Mahon,39.8885,4.2658,46.4,87,0,5.75,ES,clear sky
297,Lucapa,-8.4192,20.7447,65.35,97,65,2.06,AO,broken clouds
298,Shimanovsk,52.0,127.7,-21.23,87,100,2.66,RU,overcast clouds
299,Magadan,59.5667,150.8,-10.89,77,100,10.8,RU,overcast clouds
300,Tiksi,71.6872,128.8694,-15.88,89,100,11.23,RU,overcast clouds
301,Plainview,40.7765,-73.4673,46.99,66,40,19.57,US,light rain
302,Torbay,47.6666,-52.7314,33.01,93,90,25.32,CA,light snow
303,Ambon,-3.6954,128.1814,77.0,16,100,9.91,ID,overcast clouds
304,Aberystwyth,52.4155,-4.0829,45.0,17,97,3.0,GB,overcast clouds
